post_id,user_id,post_time,post_hour,post_type,paid_boost,hashtags_count,followers_at_post,views,likes,clicks,comments,shares,watch_time_total_sec,like_rate,click_through_rate,comment_rate,session_time_normal,clicks_binomial
52,476,2025-06-26 23:03:32.951695,23,link,0,2,3500,8567,168,52,0,2,5437,0.0196101319014824,0.0060698027314112,0.0,28.074588597918417,5
53,219,2025-08-09 21:43:45.951695,21,video,0,4,4211,5495,126,59,0,18,59176,0.0229299363057324,0.0107370336669699,0.0,26.615389998470206,4
54,206,2025-08-05 03:58:38.951695,3,image,1,2,4681,7107,115,43,0,7,3221,0.0161812297734627,0.0060503728718165,0.0,33.058381444204336,1
55,419,2025-09-12 11:09:16.951695,11,text,0,2,4586,7415,185,65,12,5,561,0.0249494268374915,0.0087660148347943,0.0016183412002697,35.154997612479754,2
56,334,2025-09-25 16:29:21.951695,16,video,0,1,1783,2013,106,20,0,6,4057,0.0526577247888723,0.0099354197714853,0.0,34.65640059558099,3
57,262,2025-09-04 09:21:05.951695,9,image,0,2,3765,1715,50,10,0,0,392,0.0291545189504373,0.0058309037900874,0.0,25.803912383886807,3
58,229,2025-08-22 20:54:02.951695,20,image,0,4,2093,3246,68,22,16,0,3283,0.0209488601355514,0.006777572396796,0.0049291435613062,28.453938120743928,4
59,353,2025-07-29 22:39:57.951695,22,video,0,1,2776,2216,98,29,5,14,60234,0.0442238267148014,0.0130866425992779,0.0022563176895306,31.65631715701782,4
60,377,2025-08-08 21:24:31.951695,21,image,0,1,4003,5489,166,56,0,9,834,0.0302423027873929,0.0102022226270723,0.0,34.877725635611796,3
61,246,2025-08-08 18:27:17.951695,18,video,0,1,1356,1960,57,28,13,6,66475,0.0290816326530612,0.0142857142857142,0.0066326530612244,27.60412881077355,2
62,16,2025-06-11 02:19:52.951695,2,image,0,2,2081,1100,32,3,0,0,34,0.029090909090909,0.0027272727272727,0.0,29.071705116680914,2
63,51,2025-08-08 00:26:30.951695,0,video,0,2,6562,3693,99,38,0,12,39820,0.0268074735987002,0.0102897373409152,0.0,24.46832512996986,1
64,73,2025-09-19 08:51:57.951695,8,video,0,1,1959,3973,190,67,0,5,61801,0.0478228039265039,0.0168638308582934,0.0,24.018966879596647,2
65,232,2025-09-01 18:22:44.951695,18,text,0,1,2722,2943,42,40,0,3,1690,0.0142711518858307,0.0135915732246007,0.0,34.06262911197099,3
66,308,2025-09-12 03:18:38.951695,3,video,0,3,18034,18360,716,365,0,38,712195,0.0389978213507625,0.0198801742919389,0.0,36.78120014285412,4
67,402,2025-07-25 12:16:00.951695,12,image,0,3,5983,3109,81,23,10,8,102,0.0260533933740752,0.0073978771309102,0.003216468317787,29.63994939209833,4
68,117,2025-08-11 03:06:46.951695,3,text,0,4,6202,8388,159,84,5,6,5770,0.0189556509298998,0.0100143061516452,0.0005960896518836,35.017664489460124,1
69,394,2025-06-12 16:06:09.951695,16,text,0,2,7780,731,12,4,0,0,144,0.0164158686730506,0.0054719562243502,0.0,31.80818012523817,3
70,334,2025-07-24 14:42:14.951695,14,video,0,6,1783,859,31,11,0,4,7825,0.0360884749708963,0.0128055878928987,0.0,26.77440122697438,2
71,26,2025-08-04 13:59:17.951695,13,text,0,4,3455,1900,43,14,0,0,551,0.0226315789473684,0.0073684210526315,0.0,31.80697802754207,2
72,176,2025-07-09 06:40:17.951695,6,text,1,0,5840,13513,178,152,0,6,887,0.013172500555021,0.0112484274402427,0.0,37.690182832329846,4
73,152,2025-06-12 09:38:38.951695,9,video,0,2,1744,5145,170,88,5,4,110200,0.0330417881438289,0.0171039844509232,0.0009718172983479,29.820869804450243,1
74,444,2025-08-30 12:02:43.951695,12,text,0,6,18410,19531,287,179,0,6,1228,0.0146945880907275,0.0091649173109415,0.0,37.82321827907003,3
75,461,2025-07-30 20:43:21.951695,20,text,0,2,6727,4191,73,24,7,1,4568,0.0174182772607969,0.0057265569076592,0.0016702457647339,16.90127447955128,2
76,410,2025-07-28 12:49:23.951695,12,image,0,1,1344,1446,55,17,0,4,693,0.0380359612724757,0.0117565698478561,0.0,34.10951252187612,5
77,265,2025-07-08 15:37:54.951695,15,image,0,2,7875,4601,158,45,5,2,3713,0.0343403607911323,0.0097804825038035,0.0010867202782003,30.435235341190857,3
78,247,2025-08-12 04:37:17.951695,4,text,0,2,1641,7416,65,26,0,0,489,0.008764832793959,0.0035059331175836,0.0,28.50496324767066,2
79,156,2025-07-31 05:11:13.951695,5,link,0,1,28794,26332,661,678,0,15,3736,0.0251025368373082,0.0257481391462858,0.0,30.45880388267751,3
80,387,2025-08-04 12:44:43.951695,12,image,0,1,7628,9489,207,133,0,10,6912,0.0218147328485614,0.0140162293181578,0.0,20.062155426995535,4
81,44,2025-08-17 08:34:46.951695,8,text,0,1,6199,1524,33,17,4,1,136,0.0216535433070866,0.0111548556430446,0.0026246719160104,28.90164056081244,6
82,136,2025-06-09 09:53:05.951695,9,text,0,5,1780,1019,10,17,1,2,459,0.0098135426889106,0.0166830225711481,0.000981354268891,31.78556285755873,2
83,68,2025-09-25 13:50:03.951695,13,text,0,0,3095,2398,70,12,3,2,421,0.0291909924937447,0.0050041701417848,0.0012510425354462,37.38947022370758,5
84,248,2025-06-17 04:24:06.951695,4,link,0,2,30850,9345,309,234,0,10,9823,0.0330658105939004,0.0250401284109149,0.0,27.40864890863176,5
85,150,2025-08-01 18:19:59.951695,18,video,0,2,5750,10102,386,149,0,56,101398,0.0382102553949712,0.0147495545436547,0.0,25.95753198553406,5
86,99,2025-07-03 12:54:13.951695,12,video,0,1,7330,11039,423,165,16,18,229330,0.0383186882869825,0.0149470060693903,0.001449406649153,27.491214782077318,3
87,189,2025-08-10 12:09:47.951695,12,image,0,2,1251,1800,53,11,0,0,311,0.0294444444444444,0.0061111111111111,0.0,34.57701058851037,3
88,431,2025-07-12 06:43:57.951695,6,image,0,1,1736,563,5,7,1,1,43,0.0088809946714031,0.0124333925399644,0.0017761989342806,31.643755548298422,3
89,280,2025-09-19 20:29:19.951695,20,image,0,0,6391,3839,87,41,10,9,494,0.0226621516019796,0.0106798645480593,0.0026048450117218,27.351198981164806,4
90,412,2025-07-26 05:11:10.951695,5,text,0,0,476,412,9,2,0,0,97,0.0218446601941747,0.0048543689320388,0.0,32.56633716556678,3
91,457,2025-08-24 07:17:09.951695,7,link,0,2,14418,10199,297,441,32,9,5344,0.0291205020100009,0.0432395332875772,0.003137562506128,30.4853877467402,4
92,452,2025-07-08 12:26:37.951695,12,image,1,7,6965,30590,411,212,0,22,56860,0.0134357633213468,0.0069303694017652,0.0,34.84322495266444,3
93,176,2025-06-10 23:33:34.951695,23,text,1,2,5840,21844,334,150,34,13,3801,0.0152902398828053,0.0068668741988646,0.0015564914850759,26.489734530613237,4
94,439,2025-07-27 03:38:06.951695,3,video,0,1,2554,1203,67,5,4,7,16320,0.055694098088113,0.0041562759767248,0.0033250207813798,28.361689267011158,4
95,455,2025-08-12 00:45:03.951695,0,image,0,1,5267,8677,575,95,0,19,1660,0.0662671430217817,0.0109484844992508,0.0,28.039459234339212,1
96,480,2025-08-02 19:09:56.951695,19,video,0,2,66017,86158,2270,883,148,223,2327030,0.0263469439866292,0.0102486130133011,0.0017177743215952,22.682425259339407,4
97,176,2025-10-02 02:16:16.951695,2,image,0,1,5840,6551,150,41,0,8,5817,0.0228972675927339,0.0062585864753472,0.0,31.48060138532288,3
98,115,2025-09-01 11:22:00.951695,11,image,0,3,5282,10189,239,83,0,15,2510,0.023456668956718,0.0081460398468937,0.0,31.305276360899448,4
99,293,2025-10-06 03:11:56.951695,3,text,0,1,21407,4608,154,55,0,1,624,0.0334201388888888,0.0119357638888888,0.0,30.025567283212304,3
100,466,2025-07-14 01:26:35.951695,1,image,0,4,3106,2507,90,19,0,3,1904,0.0358994814519345,0.0075787794176306,0.0,28.827064333124262,2
101,451,2025-09-11 08:08:36.951695,8,image,0,3,4310,6095,225,51,0,7,318,0.0369155045118949,0.0083675143560295,0.0,22.92314628974793,5
102,286,2025-08-14 07:40:42.951695,7,video,0,1,3067,1723,92,24,3,2,11253,0.0533952408589669,0.0139291932675565,0.0017411491584445,27.896773386173205,2
103,75,2025-08-21 01:32:23.951695,1,video,0,2,5667,2614,54,23,0,8,24025,0.0206579954093343,0.0087987758224942,0.0,28.286427417366152,4
104,212,2025-10-04 22:55:37.951695,22,link,0,6,1304,786,17,12,0,0,475,0.0216284987277353,0.015267175572519,0.0,25.988613653891907,3
105,358,2025-08-26 03:09:11.951695,3,link,0,0,6440,7789,206,264,0,4,2833,0.0264475542431634,0.033893953010656,0.0,29.193571441669953,3
106,281,2025-09-24 12:15:45.951695,12,video,0,2,7943,8187,426,118,39,42,38334,0.0520337119824111,0.0144130939294002,0.0047636496885305,32.02025428407269,2
107,173,2025-09-03 17:49:50.951695,17,video,0,2,3118,8167,283,168,48,80,427318,0.0346516468715562,0.0205705889555528,0.0058773111301579,39.43092950605265,3
108,172,2025-06-23 22:32:31.951695,22,image,0,3,7677,11054,282,127,18,3,353,0.025511127193776,0.011489053736204,0.0016283698208793,30.872889064159196,2
109,30,2025-08-31 14:00:37.951695,14,image,0,1,7561,2421,100,42,5,4,2530,0.0413052457662123,0.0173482032218091,0.0020652622883106,31.28775195361382,1
110,145,2025-08-05 18:29:56.951695,18,image,0,1,2179,944,25,2,0,2,207,0.0264830508474576,0.0021186440677966,0.0,29.627770421169163,2
111,335,2025-09-26 21:48:29.951695,21,video,0,2,5078,6878,264,39,12,3,247154,0.0383832509450421,0.0056702529805175,0.0017446932247746,20.406143923504793,0
112,121,2025-09-13 11:21:11.951695,11,image,0,2,1766,1399,37,21,4,3,57,0.0264474624731951,0.0150107219442458,0.0028591851322373,29.867430622753915,6
113,497,2025-06-21 03:34:40.951695,3,video,0,2,787,2511,91,37,0,10,22739,0.0362405416168857,0.0147351652727996,0.0,30.301151049705133,6
114,42,2025-06-24 17:20:49.951695,17,video,0,2,8460,12278,382,104,0,28,137238,0.031112559048705,0.0084704349242547,0.0,42.316210562426434,3
115,295,2025-06-17 00:08:58.951695,0,video,0,4,3878,5893,175,55,16,4,63152,0.0296962497878839,0.009333107076192,0.0027150856948922,29.038195176094387,4
116,249,2025-08-06 20:12:54.951695,20,image,0,2,89775,111375,1427,1562,230,64,70384,0.0128125701459034,0.0140246913580246,0.0020650953984287,31.507736711668063,2
117,417,2025-06-18 08:17:33.951695,8,image,1,4,14606,152493,9139,1761,511,483,246425,0.0599306197661532,0.0115480710589994,0.0033509734873076,29.826441151473784,4
118,444,2025-09-03 11:51:48.951695,11,video,0,3,18410,3053,142,51,11,6,97985,0.0465116279069767,0.0167048804454634,0.0036030134294136,24.15660981190234,4
119,272,2025-08-13 22:27:45.951695,22,image,0,1,6744,1251,26,6,1,1,65,0.0207833733013589,0.0047961630695443,0.0007993605115907,35.7141140725751,5
120,316,2025-09-16 23:01:07.951695,23,image,0,1,3653,8322,174,28,0,15,1915,0.0209084354722422,0.0033645758231194,0.0,33.75966516343387,3
121,350,2025-07-12 05:28:54.951695,5,text,0,3,21503,12943,118,67,0,3,9260,0.0091168971644904,0.0051765433052615,0.0,33.95515973521523,4
122,261,2025-08-09 22:47:43.951695,22,link,1,2,3873,3233,116,108,0,0,3141,0.0358799876275904,0.0334055057222394,0.0,25.453062726026307,2
123,93,2025-06-22 18:00:41.951695,18,video,0,0,3218,1119,39,19,0,3,25053,0.03485254691689,0.0169794459338695,0.0,37.013971554680495,7
124,215,2025-09-22 19:20:48.951695,19,text,0,2,3541,2391,31,19,0,0,1292,0.0129652864910079,0.0079464659138435,0.0,22.990744686038596,0
125,121,2025-06-29 15:41:03.951695,15,text,0,1,1766,1408,28,7,4,2,64,0.0198863636363636,0.0049715909090909,0.002840909090909,32.93428546900135,3
126,233,2025-06-20 22:28:23.951695,22,image,0,1,6738,2718,73,19,5,4,1558,0.0268579838116261,0.006990434142752,0.0018395879323031,40.952278129049894,4
127,308,2025-07-03 06:12:56.951695,6,image,0,3,18034,16672,389,416,61,38,5152,0.0233325335892514,0.0249520153550863,0.0036588291746641,25.04731837434656,4
128,105,2025-09-13 09:37:00.951695,9,video,0,2,1932,339,20,5,0,1,6566,0.0589970501474926,0.0147492625368731,0.0,27.16851135198614,1
129,125,2025-06-21 08:24:57.951695,8,video,0,1,11328,8707,295,70,0,23,32059,0.0338807855748248,0.0080395084414838,0.0,30.498256825438204,5
130,412,2025-08-21 09:13:16.951695,9,link,0,2,476,435,13,26,0,1,248,0.0298850574712643,0.0597701149425287,0.0,27.482621729419005,2
131,189,2025-09-06 04:40:19.951695,4,image,0,3,1251,603,28,5,2,0,154,0.0464344941956882,0.0082918739635157,0.0033167495854063,22.246682844669337,3
132,100,2025-09-06 18:47:01.951695,18,image,0,1,1987,733,23,9,1,1,3,0.0313778990450204,0.0122783083219645,0.0013642564802182,30.342814874030136,2
133,357,2025-07-01 11:02:43.951695,11,image,0,5,6213,13676,172,195,0,21,2930,0.0125767768353319,0.0142585551330798,0.0,24.688481431369475,2
134,359,2025-06-16 01:08:49.951695,1,video,0,1,2072,4523,102,25,12,9,58280,0.022551403935441,0.0055273048861375,0.002653106345346,32.36796215317591,3
135,414,2025-08-01 12:13:56.951695,12,video,0,1,10398,5567,138,46,0,25,116252,0.0247889347943236,0.0082629782647745,0.0,25.402878828830982,3
136,380,2025-07-02 22:49:40.951695,22,image,0,2,3109,2295,60,8,0,4,598,0.0261437908496732,0.0034858387799564,0.0,37.7496720250877,2
137,496,2025-08-31 13:34:11.951695,13,image,0,2,12525,5846,110,29,0,6,29,0.0188162846390694,0.004960656859391,0.0,26.083733538318814,2
138,288,2025-07-21 10:56:42.951695,10,text,0,4,5179,4671,81,26,12,1,1543,0.0173410404624277,0.00556625990152,0.0025690430314707,28.389692418971624,3
139,144,2025-08-01 13:48:33.951695,13,image,0,2,6423,5610,96,18,0,10,934,0.0171122994652406,0.0032085561497326,0.0,34.06758608684835,4
140,432,2025-06-22 06:30:23.951695,6,image,0,3,7900,8213,286,121,0,11,10153,0.0348228418361134,0.0147327407768172,0.0,23.845678417830225,5
141,133,2025-08-15 18:12:53.951695,18,text,0,1,9275,20153,438,176,73,5,7166,0.0217337369126184,0.0087331910881754,0.0036222894854364,31.137299673020646,1
142,146,2025-06-30 21:58:46.951695,21,video,0,1,3244,8976,340,72,35,20,191017,0.0378787878787878,0.0080213903743315,0.0038992869875222,36.53571377141214,3
143,415,2025-08-29 03:08:55.951695,3,image,0,3,3696,2788,53,13,0,9,76,0.0190100430416068,0.0046628407460545,0.0,21.96258382719386,1
144,441,2025-06-17 04:38:10.951695,4,text,0,3,4067,29755,366,162,19,15,21955,0.0123004537052596,0.0054444631154427,0.0006385481431692,30.92316929266152,0
145,170,2025-10-03 18:14:47.951695,18,video,0,2,4718,16127,636,87,30,52,184653,0.0394369690581013,0.0053946797296459,0.001860234389533,31.299413971242117,4
146,365,2025-08-29 19:06:27.951695,19,video,0,4,4337,2616,123,37,0,21,78639,0.0470183486238532,0.0141437308868501,0.0,33.90911435888655,3
147,462,2025-06-30 11:03:04.951695,11,video,0,1,2135,2986,207,70,10,17,75231,0.0693235097119892,0.0234427327528466,0.0033489618218352,23.81524644560959,2
148,400,2025-06-10 08:15:45.951695,8,video,0,0,2429,349,20,5,0,0,3549,0.0573065902578796,0.0143266475644699,0.0,23.397716934578618,2
149,3,2025-07-18 18:55:23.951695,18,image,0,1,10409,15267,267,65,34,12,869,0.0174887011200628,0.004257548961813,0.0022270256107945,32.60970782808449,0
150,333,2025-06-26 23:46:19.951695,23,video,0,3,2443,6031,230,68,0,7,144817,0.0381362958050074,0.0112750787597413,0.0,31.48492336616593,4
151,85,2025-07-04 20:41:40.951695,20,image,0,2,1486,13389,567,61,29,17,280,0.0423481962805287,0.0045559787885577,0.0021659571289864,31.252464251729382,6
152,424,2025-09-21 09:11:26.951695,9,video,0,3,1118,1327,52,20,3,3,17186,0.0391861341371514,0.0150715900527505,0.0022607385079125,31.73224104748488,1
153,34,2025-08-20 00:53:57.951695,0,video,0,1,2178,3652,119,38,0,13,18032,0.0325848849945235,0.0104052573932092,0.0,26.599876392107547,2
154,497,2025-06-29 19:52:04.951695,19,video,0,2,787,1635,48,17,8,6,41169,0.0293577981651376,0.0103975535168195,0.0048929663608562,31.161268485805017,5
155,89,2025-08-14 10:50:56.951695,10,video,0,0,7948,39108,1040,502,0,55,574179,0.0265930244451263,0.0128362483379359,0.0,31.465362366493405,5
156,211,2025-07-09 08:19:05.951695,8,link,0,3,12282,3975,67,37,0,1,749,0.0168553459119496,0.0093081761006289,0.0,26.42824290986816,3
157,118,2025-10-03 19:07:42.951695,19,video,0,1,5023,49537,1971,339,109,174,1812719,0.0397884409633203,0.0068433696025193,0.0022003754769162,39.328872555723784,1
158,407,2025-06-12 14:00:38.951695,14,video,0,1,4369,2693,117,19,9,12,39828,0.0434459710360193,0.0070553286297809,0.0033419977720014,32.36916460455894,1
159,197,2025-09-04 12:44:49.951695,12,video,0,2,9351,2305,79,19,6,7,55145,0.0342733188720173,0.0082429501084598,0.0026030368763557,24.043482513986756,3
160,373,2025-09-09 09:54:05.951695,9,image,0,4,11577,10380,298,109,26,7,7675,0.0287090558766859,0.0105009633911368,0.002504816955684,33.28276804316915,3
161,34,2025-06-16 17:05:55.951695,17,image,0,0,2178,1120,24,11,0,6,423,0.0214285714285714,0.0098214285714285,0.0,25.126591648863393,1
162,227,2025-06-29 06:39:13.951695,6,text,0,4,60929,49557,927,368,0,37,1770,0.0187057327925419,0.0074257925217426,0.0,33.93542301871226,3
163,456,2025-07-24 18:28:23.951695,18,image,0,1,5768,2087,102,24,4,6,60,0.048873981792046,0.0114997604216578,0.0019166267369429,35.79297789503702,0
164,464,2025-09-20 19:57:21.951695,19,image,0,2,618,798,19,8,3,1,560,0.0238095238095238,0.0100250626566416,0.0037593984962406,25.89658840824145,4
165,105,2025-08-12 02:13:47.951695,2,image,0,6,1932,2562,87,36,0,7,666,0.0339578454332552,0.0140515222482435,0.0,34.81688064622161,2
166,198,2025-08-26 06:57:13.951695,6,text,0,1,3312,11383,162,44,0,11,1964,0.0142317490995343,0.003865413335676,0.0,32.063904634682494,1
167,205,2025-09-10 14:44:49.951695,14,image,0,3,632,467,15,6,0,0,45,0.032119914346895,0.012847965738758,0.0,34.11030079997245,3
168,283,2025-09-16 00:39:49.951695,0,video,0,5,12424,48889,2606,588,0,180,518215,0.0533044243081265,0.0120272453926241,0.0,39.48396491326974,3
169,269,2025-08-04 19:22:10.951695,19,text,0,2,5183,4023,80,31,7,2,1393,0.01988565746955,0.0077056922694506,0.0017399950285856,28.773059419985646,6
170,53,2025-08-08 16:59:39.951695,16,text,0,3,1144,1541,15,9,0,1,268,0.0097339390006489,0.0058403634003893,0.0,26.23131917821255,3
171,382,2025-09-02 19:31:36.951695,19,image,0,3,18206,4794,143,55,0,13,676,0.0298289528577388,0.0114726741760534,0.0,25.552427851872384,2
172,113,2025-07-10 06:05:45.951695,6,link,0,1,2713,842,15,24,0,1,1187,0.0178147268408551,0.0285035629453681,0.0,25.920948575172808,4
173,158,2025-09-19 04:36:01.951695,4,text,0,2,13131,9220,131,24,4,8,15924,0.0142082429501084,0.0026030368763557,0.0004338394793926,29.614491452929478,2
174,421,2025-06-11 03:32:09.951695,3,video,0,3,5389,5223,205,73,20,10,104236,0.0392494734826727,0.0139766417767566,0.0038292169251388,31.705759874083217,5
175,345,2025-07-02 03:29:31.951695,3,text,0,4,24740,9417,123,45,0,2,6373,0.0130614845492194,0.004778591908251,0.0,31.383453996650097,2
